"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"Gigabyte Z490 Gaming X AX",0,"Gigabyte","Z490 Gaming X AX","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,1,"TRUE","FALSE",""
"Gigabyte Z490 UD",0,"Gigabyte","Z490 UD","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"Gigabyte Z490 UD AC",0,"Gigabyte","Z490 UD AC","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"Gigabyte Z490 Vision D",0,"Gigabyte","Z490 Vision D","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z490M",0,"Gigabyte","Z490M","LGA 1200","Z490","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,1,1,1,"FALSE","FALSE",""
"Gigabyte Z490M Gaming X",0,"Gigabyte","Z490M Gaming X","LGA 1200","Z490","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z590 Aorus Elite AX",0,"Gigabyte","Z590 AORUS ELITE AX","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z590 Aorus Master",0,"Gigabyte","Z590 AORUS MASTER","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z590 Aorus Pro AX",265.58,"Gigabyte","Z590 AORUS PRO AX","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"TRUE","FALSE","https://www.amazon.ca/dp/B08W9RG6K5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z590 Aorus Ultra",0,"Gigabyte","Z590 AORUS ULTRA","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z590 Aorus XTreme",0,"Gigabyte","Z590 AORUS XTREME","LGA 1200","Z590","TRUE","E-ATX","DDR4","128 GB",4,6,0,0,0,1,"TRUE","FALSE",""
"Gigabyte Z590 Aorus Xtreme Waterforce",0,"Gigabyte","Z590 Aorus Xtreme WB","LGA 1200","Z590","TRUE","E-ATX","DDR4","128 GB",4,6,0,0,0,1,"TRUE","FALSE",""
"Gigabyte Z590 D",0,"Gigabyte","Z590 D","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"FALSE","FALSE",""
"Gigabyte Z590 Gaming X",0,"Gigabyte","Z590 Gaming X","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,0,"FALSE","FALSE",""
"Gigabyte Z590 UD AC",0,"Gigabyte","Z590 UD AC","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,5,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z590 Vision D",0,"Gigabyte","Z590 VISION D","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z590 Vision G",115.32,"Gigabyte","Z590 VISION G","LGA 1200","Z590","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08W8PH5B9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z590I Aorus Ultra",285.45,"Gigabyte","Z590I AORUS ULTRA","LGA 1200","Z590","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B08W8G5CCC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z590I Vision D",0,"Gigabyte","Z590I VISION D","LGA 1200","Z590","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z590M",0,"Gigabyte","Z590M","LGA 1200","Z590","TRUE","Micro-ATX","DDR4","128 GB",4,6,0,1,1,1,"FALSE","FALSE",""
"Gigabyte Z590M Gaming X",0,"Gigabyte","Z590M GAMING X","LGA 1200","Z590","TRUE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690 Aero G",0,"Gigabyte","Z690 AERO G","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Elite AX",0,"Gigabyte","Z690 AORUS ELITE AX","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Tachyon",0,"Gigabyte","Z690 Aorus Tachyon","LGA 1700","Z690","TRUE","E-ATX","DDR5","64 GB",2,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Ultra",0,"Gigabyte","Z690 AORUS ULTRA","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Xtreme",0,"Gigabyte","Z690 AORUS XTREME","LGA 1700","Z690","TRUE","E-ATX","DDR5","128 GB",4,6,0,0,0,0,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Xtreme WB",0,"Gigabyte","Z690 Aorus Xtreme WB","LGA 1700","Z690","TRUE","E-ATX","DDR5","128 GB",4,4,0,0,0,0,"TRUE","FALSE",""
"Gigabyte Z690 Gaming X",0,"Gigabyte","Z690 GAMING X","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690 Gaming X DDR4",0,"Gigabyte","Z690 GAMING X DDR4","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690 UD",0,"Gigabyte","Z690 UD","LGA 1700","Z690","TRUE","ATX","DDR5","256 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690 UD DDR4",0,"Gigabyte","Z690 UD DDR4","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690I Aorus Ultra",0,"Gigabyte","Z690I AORUS ULTRA","LGA 1700","Z690","TRUE","Mini-ITX","DDR5","128 GB",2,2,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690M A Elite AX DDR4",0,"Gigabyte","Z690M A ELITE AX DDR4","LGA 1700","Z690","TRUE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z690M DS3H DDR4",0,"Gigabyte","Z690M DS3H DDR4","LGA 1700","Z690","TRUE","Micro-ATX","DDR4","128 GB",4,4,1,0,2,1,"FALSE","FALSE",""
"GIGABYTE Z790 Aorus Elite AX",0,"Gigabyte","Z790 AORUS ELITE AX","LGA 1700","Z790","FALSE","ATX","DDR5","128 GB",4,4,0,0,2,1,"TRUE","FALSE",""
"Gigabyte Z97P-D3",0,"Gigabyte","GA-Z97P-D3","LGA 1150","Z97","TRUE","ATX","DDR3","32 GB",4,6,1,0,0,1,"FALSE","FALSE",""
"MSI 970 Gaming",0,"MSI","7693-040R","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI 970A Gaming Pro Carbons",0,"MSI","7992-001R","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI 970A-G43 Plus",0,"MSI","7974-001R","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI 990FXA Gaming",0,"MSI","7893-001R","AM3+","990FX","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI A320M Bazooka",0,"MSI","7A38-002R","AM4","A320","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI A320M Grenade",0,"MSI","7A39-003R","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI A320M-A Pro Max, socket AM4",0,"MSI","7C52-004R","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI A320M-A Pro, socket AM4",68.19,"MSI","7C51-001R","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B083GK2GXR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI A520M Pro",69.73,"MSI","7D14-005R","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08GYF757B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI A520M PRO-VH",0,"MSI","7C96-017R","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,0,1,"FALSE","FALSE",""
"MSI A520M Vector WiFi",94.29,"MSI","7D14-008R","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08GXQLKVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI A520M-A Pro",72.53,"MSI","7C96-001R","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,1,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08GY3W5S8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI A68HM-E33 V2",0,"MSI","7721-206R","FM2+","A68H","FALSE","Micro-ATX","DDR3","32 GB",2,4,1,0,0,1,"FALSE","FALSE",""
"MSI A88XM-E35 V2",0,"MSI","7721-202R","FM2+","A88X","FALSE","Micro-ATX","DDR3","32 GB",2,6,2,0,0,1,"FALSE","FALSE",""
"MSI B150 Gaming M3",0,"MSI","7978-014R","LGA 1151","B150","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B150 PC Mate",0,"MSI","7971-009R","LGA 1151","B150","FALSE","ATX","DDR4","64 GB",4,6,1,1,0,1,"FALSE","FALSE",""
"MSI B150A Gaming Pro",0,"MSI","7978-003R","LGA 1151","B150","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B150I Gaming Pro",0,"MSI","7995-002R","LGA 1151","B150","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B150M Bazooka Plus",0,"MSI","7A46-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B150M ECO USB3.1/SATA600/HDMI/DVI/VGA B150",0,"MSI","7994-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI B150M Gaming Pro",0,"MSI","7994-018R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","32 GB",2,6,1,1,0,1,"FALSE","FALSE",""
"MSI B150M Grenade USB3.1/HDMI/DVI/VGA/Turbo M.2 B150",0,"MSI","7A82-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI B150M Mortar Arctic",0,"MSI","7A45-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B150M Night Elf",0,"MSI","7979-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,1,0,0,"FALSE","FALSE",""
"MSI B150M PRO-DDP",0,"MSI","7975-001R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,1,2,0,"FALSE","FALSE",""
"MSI B250 Gaming M3",0,"MSI","7A62-003R","LGA 1151","B250","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250 Gaming Pro Carbon",0,"MSI","7A64-002R","LGA 1151","B250","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250 KRAIT Gaming",0,"MSI","7A68-001R","LGA 1151","B250","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250 PC MATE",0,"MSI","7A72-003R","LGA 1151","B250","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250I Gaming Pro AC",0,"MSI","7A67-001R","LGA 1151","B250","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B250I Pro",0,"MSI","7A67-003R","LGA 1151","B250","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Gaming Pro",0,"MSI","7A65-001R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Mortar Arctic",0,"MSI","7A69-004R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Pro-VD",0,"MSI","7A74-002R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Pro-VH",0,"MSI","7A74-001R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B350 Gaming Pro Carbon",0,"MSI","7B00-001R","AM4","B350","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350 Krait Gaming",0,"MSI","7A33-002R","AM4","B350","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350 PC Mate",0,"MSI","7A36-003R","AM4","B350","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350 Tomahawk Arctic",0,"MSI","7A36-004R","AM4","B350","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350I Pro AC",0,"MSI","7A40-001R","AM4","B350","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350M Gaming Pro",0,"MSI","7A39-002R","AM4","B350","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350M Mortar",0,"MSI","7A37-002R","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350M Mortar Arctic",0,"MSI","7A37-001R","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B350M Pro-VDH",0,"MSI","7A38-003R","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B360 Gaming Plus",163.21,"MSI","7B22-002R","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,5,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07CBKQ75V?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B360 Gaming Pro Carbon",0,"MSI","7B16-002R","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B360-A Pro",0,"MSI","7B22-012R","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"MSI B360I Gaming Pro AC",0,"MSI","7B31-001R","LGA 1151","B360","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B360M Bazooka",0,"MSI","7B24-001R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"MSI B360M Gaming Plus",0,"MSI","7B19-001R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B360M Mortar Titanium",0,"MSI","7B23-002R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B360M Pro-VD",0,"MSI","7B53-002R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B360M Pro-VDH",0,"MSI","7B24-003R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"MSI B360M Pro-VH",0,"MSI","7B53-001R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B365M Pro-VH, socket 1151",71.08,"MSI","7C31-004R","LGA 1151","B365","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07WCN8KSZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450 Gaming Plus",101.55,"MSI","7B86-002R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/Performance-Gaming-Crossfire-Motherboard-B450/dp/B07F83RVTC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07F83RVTC"
"MSI B450 Gaming Pro Carbon AC, AMD B450",123.31,"MSI","7B85-001R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07F85YKLJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450 Tomahawk Max II",94.29,"MSI","7C02-014R","AM4","B450","TRUE","ATX","DDR4","128 GB",4,6,0,1,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07WF6ZQST?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450-A Pro Max, AMD B450-, socket AM4",94.29,"MSI","7B86-022R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07XPZMKQ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450M Bazooka V2, AMD B450",0,"MSI","7A38-026","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,1,"FALSE","FALSE",""
"MSI B450M Gaming Plus",96.46,"MSI","7B87-001R","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07F7WQDZJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450M Pro-M2",0,"MSI","7B84-005R","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,1,"FALSE","FALSE",""
"MSI B450M Pro-M2 Max, AMD B450-, socket AM4",0,"MSI","7B84-017R","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B450M Pro-VDH",0,"MSI","7A38-017R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B450M-A Pro Max",0,"MSI","7C52-001R","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI B460I Gaming Edge WiFi",145.07,"MSI","7C86-002R","LGA 1200","B460","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B08GY2P45P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B460M Pro",0,"MSI","7C88-001R","LGA 1200","B460","FALSE","Micro-ATX","DDR4","64 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"MSI B460M Pro-VDH WiFi",0,"MSI","7C83-003R","LGA 1200","B460","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,1,0,1,"TRUE","FALSE",""
"MSI B550M PRO",0,"MSI","7D14-006R","AM4","B550","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,0,1,1,"TRUE","FALSE",""
"MSI B550M Pro-VDH",0,"MSI","7C95-017R","AM4","B550","FALSE","Micro-ATX","DDR4","128 GB",4,4,1,0,1,1,"FALSE","FALSE",""
"MSI B550M Pro-VDH WiFi",123.31,"MSI","7C95-001R","AM4","B550","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B089D1YG11?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B560M Pro",101.55,"MSI","7D20-001R","LGA 1200","B560","FALSE","Micro-ATX","DDR4","64 GB",2,6,1,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B092H21SGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B560M Pro WiFi",0,"MSI","7D21-001R","LGA 1200","B560","FALSE","Micro-ATX","DDR4","64 GB",2,6,1,0,1,1,"TRUE","FALSE",""
"MSI B560M Pro-VDH",116.05,"MSI","7D18-002R","LGA 1200","B560","FALSE","Micro-ATX","DDR4","128 GB",4,6,1,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08ZJDXZ62?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B560M Pro-VDH WiFi",0,"MSI","7D18-001R","LGA 1200","B560","FALSE","Micro-ATX","DDR4","128 GB",4,6,1,0,1,1,"TRUE","FALSE",""
"MSI B560M-A Pro",0,"MSI","7D20-002R","LGA 1200","B560","FALSE","Micro-ATX","DDR4","64 GB",2,6,1,0,0,1,"FALSE","FALSE",""
"MSI B85-G43 GL/SATA600/R/USB3.0/HDMI/DVI/VGA",0,"MSI","7816-003R","LGA 1150","B85","FALSE","ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"MSI B85M-E45 GL/SATA600/USB3.0/HDMI/DVI/DP/VGA B85",0,"MSI","7817-030R","LGA 1150","B85","FALSE","Micro-ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"MSI B85M-G43 USB3.0/DP/HDMI/DVI/VGA B85",0,"MSI","7823-003R","LGA 1150","B85","FALSE","Micro-ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"MSI C236A Workstation USB3.1/M.2/DVI/HDMI/VGA",0,"MSI","7998-012R","LGA 1151","C236","FALSE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"MSI C236M Workstation USB3.1/SATAe/DVI/HDMI/VGA",0,"MSI","7972-018R","LGA 1151","C236","FALSE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"MSI Creator TRX40",0,"MSI","7C59-003R","TRX40","TRX40","FALSE","E-ATX","DDR4","256 GB",8,6,0,0,0,0,"FALSE","FALSE",""
"MSI Creator X299",529.52,"MSI","7B96-004R","LGA 2066","X299","TRUE","E-ATX","DDR4","256 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07ZPRQ1WG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI H110I Pro",0,"MSI","7995-004R","LGA 1151","H110","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI H110M ECO USB3.1/HDMI/DVI/VGA",0,"MSI","7994-003R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI H110M Gaming",0,"MSI","7994-013R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI H110M Grenade USB3.1 (Typ C)/DVI/VGA/HDMI/M.2",0,"MSI","7A82-002R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI H110M Pro-D USB3.1/DVI",0,"MSI","7996-019R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI H110M PRO-VDP",0,"MSI","7A48-001R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","32 GB",2,4,1,1,1,0,"FALSE","FALSE",""
"MSI H110M Pro-VH USB3.1/VGA/HDMI",0,"MSI","7996-008R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"MSI H170 GAMING M3 USB3.1/HDMI/DVI/M.2/SATAe H170",0,"MSI","7978-015R","LGA 1151","H170","FALSE","ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"MSI H170A Gaming Pro",0,"MSI","7978-002R","LGA 1151","H170","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H170A PC Mate",0,"MSI","7971-008R","LGA 1151","H170","FALSE","ATX","DDR4","GB",4,6,"","","","","FALSE","FALSE",""
"MSI H170I Pro AC",0,"MSI","7995-003R","LGA 1151","H170","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,1,0,1,"TRUE","FALSE",""
"MSI H170M Pro-DH",0,"MSI","7982-001R","LGA 1151","H170","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,1,0,1,"FALSE","FALSE",""
"MSI H170M Pro-VDH",0,"MSI","7982-011R","LGA 1151","H170","FALSE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"MSI H170M Pro-VDH D3 USB3.1/SATAe/R/VGA/HDMI/DVI H170",0,"MSI","7982-028R","LGA 1151","H170","FALSE","Micro-ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"MSI H170M-A Pro",0,"MSI","7972-013R","LGA 1151","H170","FALSE","Micro-ATX","DDR4","64 GB",4,6,1,1,0,1,"FALSE","FALSE",""
"MSI H270 Gaming M3",0,"MSI","7A62-002R","LGA 1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H270 Gaming Pro Carbon",119.28,"MSI","7A64-001R","LGA 1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/MSI-Gaming-Carbon-SDRAM-Motherboards/dp/B01MR4S4ZK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MR4S4ZK"
"MSI H270 PC MATE",0,"MSI","7A72-002R","LGA 1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H270 Tomahawk ARCTIC",0,"MSI","7A68-003R","LGA 1151","H270","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H270I Gaming Pro AC",0,"MSI","7A67-002R","LGA 1151","H270","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI H270M Bazooka",0,"MSI","7A70-002R","LGA 1151","H270","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H310-A Pro",88.96,"MSI","7B83-001R","LGA 1151","H310","FALSE","ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/MSI-H310-PRO-Coffee-Motherboard/dp/B07CBKQYY2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CBKQYY2"
